,feature_idx,cv_scores,avg_score,feature_names
1,"(3,)",[0.14214124],0.1421412378777203,"('sttl',)"
2,"(3, 4)",[0.17565283],0.17565283497385495,"('sttl', 'dttl')"
3,"(3, 4, 29)",[0.18398178],0.1839817782106734,"('sttl', 'dttl', 'ct_state_ttl')"
4,"(3, 4, 26, 29)",[0.18838104],0.1883810408260928,"('sttl', 'dttl', 'synack', 'ct_state_ttl')"
5,"(3, 4, 26, 28, 29)",[0.19091279],0.19091279164321326,"('sttl', 'dttl', 'synack', 'is_sm_ips_ports', 'ct_state_ttl')"
6,"(3, 4, 7, 26, 28, 29)",[0.19340899],0.19340899078973536,"('sttl', 'dttl', 'Sload', 'synack', 'is_sm_ips_ports', 'ct_state_ttl')"
7,"(3, 4, 7, 19, 26, 28, 29)",[0.19441616],0.1944161628756065,"('sttl', 'dttl', 'Sload', 'Sjit', 'synack', 'is_sm_ips_ports', 'ct_state_ttl')"
8,"(3, 4, 7, 19, 26, 28, 29, 38)",[0.19508377],0.19508377398430082,"('sttl', 'dttl', 'Sload', 'Sjit', 'synack', 'is_sm_ips_ports', 'ct_state_ttl', 'ct_dst_sport_ltm')"
9,"(3, 4, 7, 19, 26, 28, 29, 34, 38)",[0.19553772],0.1955377221672215,"('sttl', 'dttl', 'Sload', 'Sjit', 'synack', 'is_sm_ips_ports', 'ct_state_ttl', 'ct_srv_dst', 'ct_dst_sport_ltm')"
10,"(3, 4, 7, 19, 23, 26, 28, 29, 34, 38)",[0.19592844],0.19592843705203417,"('sttl', 'dttl', 'Sload', 'Sjit', 'Sintpkt', 'synack', 'is_sm_ips_ports', 'ct_state_ttl', 'ct_srv_dst', 'ct_dst_sport_ltm')"
11,"(3, 4, 7, 19, 23, 26, 28, 29, 34, 37, 38)",[0.1962082],0.19620820180804865,"('sttl', 'dttl', 'Sload', 'Sjit', 'Sintpkt', 'synack', 'is_sm_ips_ports', 'ct_state_ttl', 'ct_srv_dst', 'ct_src_dport_ltm', 'ct_dst_sport_ltm')"
12,"(3, 4, 7, 11, 19, 23, 26, 28, 29, 34, 37, 38)",[0.19645161],0.1964516090931311,"('sttl', 'dttl', 'Sload', 'swin', 'Sjit', 'Sintpkt', 'synack', 'is_sm_ips_ports', 'ct_state_ttl', 'ct_srv_dst', 'ct_src_dport_ltm', 'ct_dst_sport_ltm')"
